#{"t_start": 1684749188.9880404, "env_id": "DeepDefragmentation-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,reward,number_movements,number_defragmentation_procedure,number_arrivals,bit_rate_blocking_rate,number_movements_episode,number_defragmentation_procedure_episode,service_blocked_eopisode,number_options,existing_options
-132.729349,767,5786.364697,0.013333333333333334,0.008926688690518029,234.27065073087547,55774,10724,14226,0.0152143276766389,326,55,1,11,11
-124.597022,686,5819.709123,0.012345679012345678,0.008946669462500874,161.4029775030897,56094,10791,14306,0.015280942896773364,320,67,1,12,11
-183.291176,774,5852.366154,0.0,0.008898157803267292,190.70882351645002,56416,10855,14384,0.015192555574551335,322,64,0,12,11
-19.916198,609,5887.148275,0.0,0.0088556800885568,189.08380213341567,56747,10916,14453,0.015122247887531288,331,61,0,9,10
-21.551999,624,5921.139605,0.0,0.00881057268722467,202.4480007922295,57073,10974,14527,0.015048221390883534,326,58,0,13,11
-77.237,684,5954.589947,0.025974025974025976,0.008901670775130101,206.7630003912431,57397,11031,14603,0.015260285269928472,324,57,2,7,8
-62.029298,652,5990.771286,0.0,0.008861018335491787,189.97070152064424,57730,11087,14670,0.01518795907222036,333,56,0,11,11
-118.260155,675,6027.555221,0.013157894736842105,0.00888376508883765,156.73984457570046,58055,11147,14745,0.015249449930556077,325,60,1,11,11
-113.678301,661,6063.143118,0.0,0.00883940620782726,147.32169936136037,58381,11205,14819,0.015177360070604938,326,58,0,5,6
-132.7605,734,6096.9428,0.0,0.008793716855742767,201.2394999358799,58704,11261,14896,0.015099004561879575,323,56,0,6,7
-205.09421,817,6129.457849,0.0,0.008740908787615935,211.90578976588407,59014,11323,14986,0.015018812205405295,310,62,0,7,8
-66.312825,688,6162.287955,0.0,0.008702006111332537,221.68717458320677,59347,11380,15053,0.014958307658408302,333,57,0,4,5
-186.262149,805,6195.098528,0.021052631578947368,0.00878003696857671,218.73785113213034,59653,11445,15147,0.01507817143915749,306,65,2,2,3
26.204199,617,6230.599294,0.0,0.008734484796742627,243.20419938750803,59974,11505,15226,0.015005539573905055,321,60,0,4,5
-71.427034,678,6263.962411,0.0,0.008697358095736333,206.5729658374321,60309,11563,15291,0.014942880580156475,335,58,0,5,6
-289.1255,855,6296.19969,0.02,0.008771359885647456,165.87450026221399,60610,11636,15390,0.015042999334201647,301,73,2,7,8
-205.381804,815,6328.406954,0.012345679012345678,0.008790640553293259,209.61819561922258,60930,11697,15470,0.015021965792837894,320,61,1,4,5
-53.799809,660,6362.7208,0.0,0.008743169398907104,206.20019092960405,61246,11765,15554,0.014940031526515508,316,68,0,12,11
-232.325481,813,6395.246514,0.0,0.00869454034010996,180.67451894727813,61559,11830,15641,0.014854982027492832,313,65,0,3,4
-306.856045,882,6426.328206,0.018518518518518517,0.008762461108641819,175.14395479482474,61852,11901,15748,0.015025260172921,293,71,2,5,6
-439.522265,1014,6458.634259,0.0,0.008696748172422485,174.4777350585577,62133,11977,15867,0.014912479686313167,281,76,0,14,11
-84.531732,671,6491.403358,0.02531645569620253,0.00877963125548727,186.4682675786617,62455,12038,15945,0.015096952496794788,322,61,2,4,5
-181.787985,742,6524.817579,0.022727272727272728,0.008856732988211814,160.21201465753245,62768,12101,16032,0.01527594767544426,313,63,2,4,5
-42.123376,631,6558.384789,0.0,0.008817685047193245,188.87662366367618,63097,12161,16103,0.015215963607341752,329,60,0,3,4
-157.64687,781,6591.877762,0.0,0.00877355576150757,223.3531301666616,63416,12224,16184,0.015143122042816932,319,63,0,5,6
-162.712223,762,6624.801062,0.0,0.008730939498278406,199.28777725296334,63737,12287,16263,0.015060723866972027,321,63,0,6,7
-129.98989,666,6659.417475,0.0,0.008695119710979119,136.01011033781256,64070,12341,16330,0.015001446913750714,333,54,0,4,5
-130.07997,649,6695.966787,0.0125,0.008714198659354052,118.92002995966432,64391,12401,16409,0.01505859205054036,321,60,1,6,7
-173.154748,742,6730.17381,0.05,0.008915034265267754,168.84525159698714,64712,12461,16488,0.015334968424341578,321,60,4,2,3
-149.28643,716,6765.288043,0.05194805194805195,0.009115605191669183,166.71356961982042,65036,12522,16564,0.015702474347592386,324,61,4,1,2
-98.766261,719,6797.84882,0.0,0.009067979822243574,220.2337394687858,65349,12588,16651,0.01562845530435784,313,66,0,8,9
-190.302876,766,6830.452725,0.0,0.009018155757286192,175.69712425164047,65657,12657,16743,0.015536540591099324,308,69,0,5,6
-36.183185,612,6865.786177,0.0,0.008983282765185317,175.8168145390516,65992,12710,16808,0.01547958027149429,335,53,0,9,10
